tract,green_space_fraction,mean_ndvi,count
190200,0.1859085457040714,-0.18069596588611603,1832335
190300,0.16978269167993143,-0.20179717242717743,1832898
190401,0.16676618776124288,-0.19122765958309174,1819507
190402,0.12871338673536475,-0.20985177159309387,1815329
190601,0.3311484225862563,-0.0754314661026001,1915394
190602,0.14991308408512297,-0.19434699416160583,1724820
190701,0.1743037919257378,-0.1928279548883438,771292
190702,0.1883561934545183,-0.17282544076442719,1064537
190800,0.15337934480761678,-0.2051861733198166,1835706
190900,0.22446998940854143,-0.14277535676956177,873388
191000,0.12406797949824656,-0.21119332313537598,1205591
191100,0.17991073842032232,-0.17047907412052155,2283423
191200,0.13588014311603314,-0.17096847295761108,1958562
191301,0.15070091666589996,-0.19988468289375305,1873675
191302,0.10819299860676808,-0.2233266979455948,1751959
200100,0.17612501003129766,-0.15697312355041504,1623473
200200,0.16427262637093892,-0.16906672716140747,2272508
200300,0.13649264245353898,-0.20565290749073029,695843
200401,0.17764919116768693,-0.17472119629383087,1118149
200402,0.13038977888086642,-0.19128160178661346,1072024
20100,0.22374811987610504,-0.09965614229440689,1141277
20200,0.3174055722373546,-0.0566912405192852,3448836
20301,0.24631381381381381,-0.057945799082517624,2291518
20302,0.3022704957470386,-0.06754429638385773,1776289
20400,0.3005592841163311,-0.035059068351984024,1542088
20500,0.4262555707781603,0.04914107918739319,2141984
20601,0.18466190056349907,-0.12179981917142868,1642918
20602,0.2202964331905925,-0.12118969857692719,1367149
20701,0.291031135897618,-0.06396635621786118,1641731
20702,0.1593501305847783,-0.14337924122810364,1957954
20801,0.2023497072320544,-0.13510432839393616,1820559
20802,0.1900786806616403,-0.15535776317119598,1787792
20901,0.2438308922084861,-0.09886576235294342,1355163
20902,0.24464161775623866,-0.09863697737455368,1394343
210100,0.09967953734056957,-0.21553128957748413,2265762
210400,0.10595654459985822,-0.18941918015480042,1170142
210501,0.12455371265874271,-0.1901349574327469,869839
210502,0.1255786731733052,-0.20174147188663483,960260
210601,0.1506006862107106,-0.1760077178478241,759551
210602,0.10763714132850322,-0.2095412313938141,1058693
210700,0.16018220392898833,-0.18157872557640076,1380278
210800,0.10394298023103984,-0.21780076622962952,452419
210900,0.1015586278857441,-0.19489578902721405,1491925
220300,0.20149362932486545,-0.1434956043958664,905042
220400,0.18466966072112723,-0.16136805713176727,914665
220500,0.17098985335148337,-0.16525614261627197,958854
220601,0.13904000102714884,-0.15777380764484406,524982
220602,0.1665744594713358,-0.17059169709682465,1259172
220701,0.15842045228602225,-0.19619295001029968,739421
220702,0.08982957140453354,-0.19617775082588196,1596659
220901,0.17549117334962538,-0.16837173700332642,814089
220902,0.14731647769593645,-0.20343460142612457,916845
221000,0.18194855416216554,-0.17700538039207458,610814
221100,0.212913040328673,-0.14452774822711945,1221505
221200,0.24658368478868803,-0.12563274800777435,917185
221300,0.16529764778627634,-0.1883135735988617,916266
221400,0.07415810813943699,-0.21731063723564148,985534
221500,0.1412111140614418,-0.17672321200370789,847646
221600,0.187348357019024,-0.1731555461883545,909758
222200,0.1694835073932375,-0.16290627419948578,641406
222500,0.1723564532742096,-0.180401012301445,445987
222600,0.2587041597045115,-0.12253396958112717,445751
222700,0.2382019979189646,-0.1301892250776291,624358
222800,0.2284282617574063,-0.1498768925666809,309177
222900,0.16643544410628144,-0.16464504599571228,606195
230100,0.19759250235246673,-0.1605089008808136,461715
230200,0.19077848583613044,-0.16310785710811615,594854
230300,0.23667699970000872,-0.13714323937892914,295573
230400,0.15500949205344755,-0.19416165351867676,939586
230500,0.09607453767460161,-0.227695032954216,1461734
230600,0.1110004632896613,-0.21095378696918488,2806010
230700,0.161193630621926,-0.19051049649715424,1796146
230800,0.09965961959496442,-0.17674116790294647,567288
230900,0.14763896892986988,-0.1788635104894638,1253936
